time,char1_food,char1_drink,char1_sleep,char1_stress,char2_food,char2_drink,char2_sleep,char2_stress
160.10,219.7772,77.16658,51.6078,40,198.1102,79.49998,35.27397,10
161.10,216.9437,74.33316,48.77438,40,195.2768,76.66656,32.44055,10
162.13,214.1103,71.49974,45.94096,40,192.4434,73.83315,29.60722,10
163.13,211.3325,68.72188,159.3333,25,189.6655,71.05528,26.82945,10
164.14,208.5546,65.94402,159.0555,10,186.8877,78.88885,24.05168,10
165.15,205.7212,63.1106,159.8889,0,184.0543,78.94441,21.21836,10
166.15,202.9433,60.33273,159.5,0,181.2764,76.16655,18.44059,10
167.16,200.1099,57.49931,157.4999,0,178.443,78.16661,15.60727,10
168.16,197.332,54.72145,160,0,175.6651,78.94441,12.8295,10
169.17,194.5542,51.94359,157.4999,0,172.8873,79.33331,10.05173,10
170.17,191.7763,49.16573,158.7777,0,170.1094,79.94444,7.273968,10
171.17,188.9984,46.38786,159.3333,0,167.3315,77.16658,4.496201,10
172.17,186.2206,43.61,159.9444,0,164.5537,74.38872,1.718423,10
173.17,183.4427,40.83214,159,0,238.9444,78.94441,158.9444,0
174.19,180.6093,37.99872,156.1665,0,236.111,76.11099,156.111,0
175.19,177.8314,35.22086,153.3887,0,206.6665,46.66647,153.3331,20
176.19,175.0536,32.44299,150.6108,0,203.8886,79.49998,150.5553,20
177.20,172.2757,29.66521,147.833,0,201.1107,77.94438,147.7774,20
178.20,169.4978,26.88745,145.0551,0,198.3329,79.11108,144.9995,20
179.20,166.72,24.10968,142.2772,0,195.555,79.94444,142.2217,20
180.22,163.8866,21.27636,157.5555,0,192.7216,80,139.3883,20
181.24,160.9976,18.38748,159.0555,0,239.8889,77.11102,136.4993,20
182.25,158.2197,15.60971,159.5,0,239.9444,74.33316,133.7214,20
183.26,155.4419,12.83194,156.7221,0,239.6111,71.5553,130.9436,20
184.26,152.664,10.05418,158.2222,6.399998,238.8333,68.77744,128.1657,20
185.26,149.8306,7.220854,159.1666,11.59999,239.2778,65.94402,125.3323,20
186.26,147.0527,4.443087,159.3333,2.4,236.4999,63.16615,122.5544,20
187.28,144.2749,1.665309,159.6667,1.2,233.722,60.38829,119.7766,20
188.31,238.7777,78.77774,158.7777,0,230.8331,57.49931,116.8876,20
189.33,235.9443,75.94432,155.9443,0,227.9996,54.66589,114.0542,20
190.33,219.8331,59.83313,153.1665,10,198.5551,25.22144,111.2763,40
191.36,238.8889,56.99971,150.333,10,195.7217,79.88889,108.4429,40
192.36,238.8333,54.16629,147.4996,10,192.8883,79.44443,105.6095,40
193.36,239.6667,51.38842,144.7218,10,190.1104,79.6111,102.8316,40
194.37,239.0555,48.61056,141.9439,10,187.3326,79.88889,100.0537,40
195.40,236.2221,45.77714,139.1105,10,239.8889,77.55548,97.22031,40
196.40,220.1109,79.55554,136.3326,20,239.5555,74.77762,94.44244,40
197.42,217.2775,78.55551,133.4992,20,236.7221,79.49998,91.60902,40
198.42,214.4441,79.27776,130.6658,20,233.8887,78.16661,88.7756,40
199.42,239.3333,78.0555,127.8879,20,231.1108,75.38875,85.99774,40
200.43,236.5555,79.88889,125.11,20,228.333,79.77777,83.21988,40
201.43,233.7776,77.61104,122.3322,20,225.5551,76.99991,80.44202,40
202.44,217.6664,61.49984,119.5543,10,239.8333,77.72215,77.66415,40
203.45,214.833,58.66642,116.7209,10,239,74.88873,74.83073,40
204.45,212.0551,55.88856,113.943,10,236.2221,79.05553,72.05287,40
205.45,209.2773,53.1107,111.1652,10,233.4442,79.88889,69.27501,40
206.46,206.4994,80,108.3873,10,230.6664,77.11102,66.49715,40
207.48,203.6104,80,105.4983,10,227.7774,80,63.60817,40
208.50,200.8326,79.77777,102.7205,10,224.9995,78.8333,60.83031,40
209.51,197.9991,79.83333,99.88705,10,222.1661,78.99997,57.99689,40
210.51,195.2213,79.94444,97.10919,10,219.3883,79.94444,55.21902,40
211.52,192.4434,79.6111,94.33133,10,216.6104,77.16658,52.44116,40
212.52,189.61,78.11105,91.49791,10,213.777,74.33316,49.60774,40
213.54,186.8321,78.72218,88.72005,10,210.9991,71.5553,46.82988,40
214.54,170.7209,79.88889,85.94218,20,194.8879,55.4441,44.05202,50
215.56,167.8875,79.94444,83.10876,20,192.0545,52.61068,41.2186,50
216.56,165.0541,77.22214,80.27534,20,189.2211,79.44443,38.38518,50
217.59,238.7222,74.38872,77.44193,20,186.3877,79.88889,35.55176,50
218.59,235.9443,79.05553,74.66406,20,183.6098,78.61107,32.7739,50
219.59,233.1665,79.55554,71.8862,20,180.8319,79.55554,29.9961,50
220.62,230.333,77.49992,69.05278,20,177.9985,76.72212,27.16278,50
221.62,227.5552,77.55548,66.27492,20,175.2207,79.11108,24.38501,50
222.63,224.7218,74.72206,63.4415,20,239.7222,76.27766,21.55169,50
223.63,221.9439,71.9442,60.66364,20,238.9444,73.4998,18.77392,50
224.65,219.1105,69.11078,57.83022,20,236.111,70.66638,15.9406,50
225.68,216.2771,78.33328,54.9968,20,233.2776,78.33328,13.10728,50
226.68,213.4992,75.55542,52.21893,20,230.4997,77.33325,10.32951,50
227.70,210.6102,72.66644,49.32996,20,227.6107,74.44427,7.440634,50
228.70,207.8324,69.88858,46.55209,20,224.8329,71.66641,4.662867,50
229.73,191.6656,53.72183,43.71867,30,221.9995,68.83299,1.829535,50
230.73,188.8877,79.94444,40.94081,30,239.0555,79.05553,159.0555,0
231.74,186.0543,78.0555,38.10739,30,236.2221,76.22211,156.2221,0
232.75,237.7777,75.27763,35.32953,30,233.4442,73.44424,153.4442,0
233.76,237.6666,72.49977,32.55167,30,230.6664,77.49992,150.6664,0
234.76,234.8887,69.72191,159.7222,5,214.5552,79.66666,147.8885,10
235.78,231.9998,66.83293,157.3888,0,211.6662,77.33325,144.9995,10
236.79,229.2219,64.05507,154.6109,0,208.8884,74.55539,142.2217,10
237.79,226.444,61.27721,159.4444,0,206.1105,79.72221,139.4438,10
238.79,223.6662,58.49934,156.6666,0,203.3326,80,136.666,10
239.80,220.8883,55.72148,159.9444,0,200.5548,78.66663,133.8881,10
240.80,218.0549,52.88806,159.2222,0,197.7213,77.27769,131.0547,10
241.83,215.2215,50.05464,159.8889,0,194.8879,74.44427,128.2213,10
242.83,212.4436,47.27678,159.7222,0,192.1101,71.66641,125.4434,10
243.83,209.6657,44.49892,158.6111,0,189.3322,78.33328,122.6655,10
244.84,206.8323,41.6655,159.5555,0,186.4988,75.49986,119.8321,10
245.84,204.0545,38.88763,158.3888,0,183.7209,78.4444,117.0542,10
246.86,201.2766,36.10977,155.611,0,180.9431,75.66653,114.2764,10
247.86,198.4987,33.33191,152.8331,0,178.1652,72.88867,111.4985,10
248.87,195.6653,30.49854,149.9997,0,175.3318,79.11108,108.6651,10
249.88,192.8875,27.72078,147.2218,0,172.5539,76.33322,105.8872,10
250.88,190.1096,24.94301,144.444,0,169.776,73.55536,103.1094,10
251.88,187.3317,22.16524,141.6661,0,153.6649,57.44416,100.3315,20
252.88,184.4983,19.33192,159.6667,0,150.8314,79.38887,97.49809,20
253.89,181.7204,16.55415,160,0,148.0536,78.77774,94.72023,20
254.89,178.9426,13.77638,159.5555,0,145.2757,79.49998,91.94237,20
255.91,176.1092,10.94306,156.7221,4,142.4423,77.38881,89.10895,20
256.91,173.3313,8.165295,158.5,5.399999,239.8333,74.61095,86.33109,20
257.92,170.4979,5.331972,158.5,5.399999,238.0555,71.77753,83.49767,20
